architecture,method,final_test_ce_mean,final_test_ce_std,final_test_accuracy_mean,final_test_accuracy_std,final_worst_class_accuracy_mean,final_worst_class_accuracy_std,uplink_Mbit_mean,uplink_Mbit_std,broadcast_total_Mbit_mean,broadcast_total_Mbit_std,unicast_total_Mbit_mean,unicast_total_Mbit_std,configuration_value
cnn,dense,0.604634603,0.001745883,0.775533333,0.000776745,0.231000000,0.006082763,372.224000,0.000000,409.911680,0.000000,749.126400,0.000000,
cnn,ef_topk,0.616475582,0.001769895,0.770633333,0.001101514,0.235333333,0.025890796,26.804800,0.000000,54.074880,0.000000,299.531200,0.000000,0.05
cnn,event,0.511647662,0.011940414,0.813433333,0.004611218,0.389333333,0.034122329,6.196745,0.111180,12.858770,0.222359,72.842595,1.222975,
cnn,sign_ef,0.669385175,0.002196389,0.760733333,0.002402776,0.168666667,0.013316656,11.707200,0.000000,23.879680,0.000000,133.457600,0.000000,
cnn,strom,0.499334306,0.010017795,0.822433333,0.002709859,0.363666667,0.114596393,32.613345,0.320239,65.303050,0.712663,359.535995,4.281490,0.005
mlp,dense,0.496725718,0.001454741,0.822333333,0.001504438,0.522333333,0.009504385,1239.360000,0.000000,1364.122240,0.000000,2487.030400,0.000000,
mlp,ef_topk,0.495012214,0.001901998,0.824500000,0.001900000,0.519000000,0.025980762,91.111500,0.000000,183.049240,0.000000,1010.536900,0.000000,0.05
mlp,event,0.478383998,0.002205872,0.831366667,0.001401190,0.565000000,0.032695565,15.930379,0.177657,32.686997,0.355314,183.544565,1.954226,
mlp,sign_ef,0.525851250,0.001768308,0.811133333,0.002502665,0.514000000,0.037643060,38.871000,0.000000,78.568240,0.000000,435.891400,0.000000,
mlp,strom,0.520643353,0.008556797,0.818100000,0.000953939,0.502666667,0.034004902,363.265083,6.064685,488.027323,6.064685,1610.935483,6.064685,0.00125
